date,league,home,away,stars,signal_type,ah_open,ah_close,water_open,water_close,result,notes
2026-06-27,爱超,沙姆洛克流浪,戈尔韦联,2,混杂,0.11,0.03,0.86,0.89,,1xBet平手→一球半异常+Crown水升
2026-06-27,爱超,德利城,德罗赫达联,4,全线降水,1.00,1.00,0.96,0.88,,13/13欧赔降+全线降水+盘稳
2026-06-27,爱超,邓多克,沃特福德联队,3,降盘冷却,1.10,1.02,0.90,0.89,,威廉球半→一球降两档
2026-06-27,爱甲,科克城,布雷,4,升盘涌入,0.89,1.02,0.88,0.91,,6/11升盘半一→一球+8/13降赔
2026-06-27,爱甲,凯里FC,朗福德城,4,升盘涌入,0.18,0.25,0.90,0.87,,3家平手→平半+12/14降赔+威廉-0.28
2026-06-27,爱甲,都柏林大学,科布漫步者,5,全票反转,0.50,0.45,0.88,1.02,,14/14UCD升赔+科布降赔+AH降盘
